,Title,Published_date,Views,Likes,Comments,Month
179,Data Science Certificate vs Bootcamp vs Masters Degree,1/18/2020,105590,3003,581,Jan
180,How To Learn Programming for Data Science [3 Steps],1/13/2020,29065,1939,98,Jan
181,Data Science Fundamentals: SQL Queries,1/10/2020,5818,205,34,Jan
182,Questions You Should Ask Your Data Science Interviewers,1/6/2020,2865,142,14,Jan
183,The 9 Books That Changed My Perspective in 2019,1/3/2020,3277,179,23,Jan
184,The Data Science Interview: What to Expect,12/30/2019,7833,363,32,Dec
185,5 Data Science Resolutions for 2020,12/27/2019,471,25,12,Dec
186,How to Scrape NBA Data Using the nba_api Python Module,12/23/2019,14449,513,89,Dec
187,Collision Course: Sports Betting + Data Science,12/20/2019,14266,433,26,Dec
188,3 Reasons You Should NOT Become a Data Scientist,12/16/2019,99635,2916,206,Dec
189,5 Sports Analytics Books to Get You Started,12/13/2019,9376,348,55,Dec
190,Math Needed for Mastering Data Science,12/9/2019,54127,2774,225,Dec
191,The 5 Stages of Data Science Adoption,12/6/2019,1237,66,17,Dec
192,How YOU Can Land a Sports Analytics Job,12/2/2019,62113,2782,223,Dec
193,Data Science Fundamentals: Linear Regression,11/29/2019,5864,161,41,Nov
194,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,11/25/2019,925,45,12,Nov
195,Sports Analytics 101: The Pythagorean Theorem of Sports,11/22/2019,5304,243,26,Nov
196,9 Ways You Can Make Extra Income as a Data Scientist,11/18/2019,44603,1706,80,Nov
197,Applying Data Science To My YouTube Data: My Surprising Findings,11/11/2019,5828,136,31,Nov
198,Why Selling Is An Important Data Science Skill,11/4/2019,1562,75,13,Nov
199,By The Numbers: Where Should The NBA Put a 4 Point Line?,10/21/2019,2615,70,18,Oct
200,Why is Balance Important in Data Science?,10/16/2019,679,32,13,Oct
201,How to Stay Productive & Motivated When Learning Data Science,9/29/2019,11302,571,54,Sep
202,How Far Should the NBA 3-Point Line Actually Be?,9/21/2019,3275,104,29,Sep
203,6 Habits of Successful Data Scientists,9/13/2019,2016,89,17,Sep
204,How To Build A Word Cloud From Scraped Data (Python),9/4/2019,3681,88,9,Sep
205,Thank You For The Support | What's Next | Ken Jee | Data Science,8/26/2019,516,24,29,Aug
206,Is Data Science Right For You?,8/18/2019,48420,1127,109,Aug
207,Data Science Fundamentals: Data Cleaning in Python,8/11/2019,13564,375,53,Aug
208,How To Get Data Science Experience (Without a Job),8/8/2019,28107,1341,75,Aug
209,Take Your Data Science Projects From Good to Great,8/5/2019,1550,106,11,Aug
210,The Projects You Should Do To Get A Data Science Job,7/30/2019,143881,5545,252,Jul
211,What Does a Data Scientist Actually Do?,7/19/2019,33319,1132,79,Jul
212,Data Science Fundamentals: Data Manipulation in Python (Pandas),7/13/2019,12116,338,42,Jul
213,Data Science Fundamentals: Data Exploration in Python (Pandas),7/5/2019,16497,495,61,Jul
